t,x,y,z,q0,q1,q2,q3,q4,q5,q6
0.0104635,0.28681,0.00122874,0.661646,6e-05,-0.78564,0.002027,-2.18424,0.002896,1.39664,0.00199
0.0204635,0.287135,0.00567147,0.657971,0.000291,-0.786093,0.009385,-2.19284,0.013422,1.39774,0.00913
0.0304635,0.287658,0.0124906,0.65237,0.000696,-0.786331,0.020767,-2.2056,0.029722,1.39959,0.019905
0.0404635,0.288334,0.0209469,0.645436,0.001277,-0.785986,0.035039,-2.22092,0.050164,1.40232,0.032923
0.0504635,0.289128,0.0304578,0.637635,0.002033,-0.784768,0.051309,-2.23755,0.073431,1.40607,0.047046
0.0604635,0.290027,0.0405671,0.629331,0.002946,-0.782464,0.068873,-2.25454,0.098445,1.41091,0.061366
0.0704635,0.291026,0.0509248,0.620803,0.003992,-0.77894,0.087172,-2.27115,0.124321,1.41684,0.075171
0.0804635,0.29213,0.0612645,0.612265,0.005136,-0.774124,0.105762,-2.28688,0.15033,1.42376,0.08792
0.0904635,0.293348,0.0713876,0.603873,0.006339,-0.767999,0.124287,-2.30135,0.175879,1.43155,0.099215
0.100464,0.29469,0.0811516,0.595743,0.007563,-0.76059,0.142468,-2.31432,0.200489,1.44001,0.108773
0.110464,0.296165,0.090455,0.587954,0.008771,-0.751954,0.160082,-2.32564,0.223782,1.44893,0.116406
0.120464,0.297778,0.0992312,0.580559,0.009931,-0.742172,0.176957,-2.33524,0.245468,1.45809,0.122004
0.130464,0.299533,0.10744,0.573591,0.011017,-0.731337,0.192964,-2.34309,0.26533,1.46723,0.125515
0.140464,0.30143,0.115057,0.567066,0.012008,-0.719553,0.208005,-2.34923,0.283219,1.47615,0.126936
0.150464,0.303465,0.122079,0.560987,0.01289,-0.70693,0.222017,-2.35369,0.299039,1.48463,0.126298
0.160464,0.305634,0.128507,0.555349,0.013655,-0.693573,0.234959,-2.35655,0.312742,1.49246,0.12366
0.170464,0.307927,0.134354,0.55014,0.0143,-0.679589,0.246811,-2.35789,0.324321,1.49949,0.119101
0.180464,0.310335,0.139638,0.545346,0.014828,-0.665077,0.257573,-2.3578,0.333798,1.50555,0.112714
0.190464,0.312847,0.144379,0.540945,0.015243,-0.650134,0.267259,-2.35638,0.341226,1.51054,0.104603
0.200464,0.315451,0.148599,0.536917,0.015556,-0.634846,0.275894,-2.35372,0.346677,1.51434,0.09488
0.210464,0.318133,0.152324,0.53324,0.015776,-0.619296,0.283514,-2.34993,0.35024,1.51688,0.08366
0.220464,0.320882,0.155579,0.52989,0.015918,-0.603557,0.290163,-2.34509,0.352017,1.51811,0.071062
0.230464,0.323684,0.158388,0.526847,0.015993,-0.587695,0.29589,-2.33929,0.352122,1.51801,0.057207
0.240464,0.326526,0.160777,0.524087,0.016017,-0.571773,0.300747,-2.33263,0.350672,1.51656,0.042218
0.250464,0.329397,0.162771,0.521589,0.016003,-0.555844,0.304791,-2.3252,0.34779,1.51377,0.026216
0.260464,0.332284,0.164392,0.519333,0.015964,-0.539957,0.308078,-2.31707,0.343601,1.50968,0.009323
0.270464,0.335177,0.165664,0.5173,0.015912,-0.524157,0.310664,-2.30833,0.338229,1.50432,-0.00834
0.280464,0.338065,0.166609,0.515471,0.01586,-0.508483,0.312605,-2.29905,0.331799,1.49775,-0.026652
0.290464,0.340938,0.167248,0.513828,0.015817,-0.492971,0.313955,-2.28931,0.32443,1.49003,-0.045496
0.300464,0.343786,0.167603,0.512357,0.015793,-0.477655,0.314765,-2.27918,0.316241,1.48124,-0.064753
0.310464,0.346603,0.167691,0.511042,0.015795,-0.462563,0.315084,-2.26872,0.307345,1.47147,-0.084308
0.320464,0.349379,0.167532,0.509867,0.015829,-0.447722,0.314956,-2.25801,0.297852,1.46079,-0.104048
0.330464,0.352107,0.167142,0.508822,0.0159,-0.433158,0.314421,-2.24711,0.287865,1.4493,-0.123861
0.340464,0.354782,0.166539,0.507892,0.016012,-0.418894,0.313518,-2.23608,0.277483,1.43708,-0.14364
0.350464,0.357396,0.165739,0.507067,0.016168,-0.404951,0.312279,-2.22498,0.266798,1.42423,-0.16328
0.360464,0.359946,0.164755,0.506336,0.016369,-0.391348,0.310732,-2.21387,0.255898,1.41085,-0.182677
0.370464,0.362425,0.163602,0.505691,0.016614,-0.378106,0.308905,-2.2028,0.244863,1.39702,-0.201735
0.380464,0.364831,0.162293,0.50512,0.016904,-0.365239,0.306817,-2.19182,0.23377,1.38282,-0.220359
0.390464,0.367158,0.160838,0.504618,0.017236,-0.352765,0.304488,-2.18098,0.222689,1.36834,-0.23846
0.400464,0.369403,0.15925,0.504176,0.017609,-0.340699,0.301932,-2.17032,0.211683,1.35367,-0.255953
0.410464,0.371564,0.157539,0.503786,0.018019,-0.329052,0.299163,-2.15989,0.200813,1.33886,-0.272759
0.420464,0.373638,0.155714,0.503444,0.018463,-0.317839,0.296191,-2.14972,0.190131,1.32401,-0.288804
0.430464,0.375622,0.153783,0.503144,0.018936,-0.307069,0.293023,-2.13986,0.179686,1.30917,-0.30402
0.440464,0.377515,0.151755,0.502879,0.019434,-0.296753,0.289666,-2.13032,0.169522,1.29441,-0.318346
0.450464,0.379315,0.149637,0.502647,0.019954,-0.2869,0.286126,-2.12115,0.159676,1.27978,-0.331726
0.460464,0.381021,0.147436,0.502442,0.020489,-0.277517,0.282407,-2.11236,0.150181,1.26533,-0.34411
0.470464,0.382632,0.145158,0.502261,0.021036,-0.26861,0.278511,-2.10398,0.141068,1.25112,-0.355459
0.480464,0.384147,0.142809,0.5021,0.021589,-0.260185,0.274443,-2.09603,0.13236,1.2372,-0.365735
0.490464,0.385566,0.140394,0.501958,0.022144,-0.252246,0.270204,-2.08853,0.124076,1.22359,-0.374912
0.500464,0.386888,0.137919,0.501831,0.022697,-0.244796,0.265798,-2.08148,0.116234,1.21035,-0.382967
0.510464,0.388114,0.135388,0.501716,0.023242,-0.237837,0.261227,-2.0749,0.108844,1.19749,-0.389887
0.520464,0.389244,0.132805,0.501613,0.023776,-0.231371,0.256495,-2.06881,0.101913,1.18506,-0.395663
0.530464,0.390276,0.130174,0.501519,0.024294,-0.225398,0.251607,-2.0632,0.095447,1.17308,-0.400295
0.540464,0.391213,0.1275,0.501433,0.024794,-0.219916,0.246565,-2.05808,0.089446,1.16156,-0.403788
0.550464,0.392053,0.124787,0.501353,0.025272,-0.214925,0.241377,-2.05346,0.083907,1.15053,-0.406154
0.560464,0.392799,0.122037,0.501279,0.025724,-0.210422,0.236047,-2.04933,0.078823,1.14,-0.40741
0.570464,0.393449,0.119255,0.50121,0.026148,-0.206405,0.230583,-2.04569,0.074186,1.13,-0.40758
0.580464,0.394005,0.116444,0.501144,0.026542,-0.202868,0.224992,-2.04255,0.069984,1.12051,-0.406691
0.590464,0.394467,0.113607,0.501082,0.026903,-0.199809,0.219282,-2.0399,0.066204,1.11156,-0.404776
0.600464,0.394836,0.110748,0.501021,0.027231,-0.19722,0.213462,-2.03774,0.062828,1.10315,-0.401874
0.610464,0.395111,0.107871,0.500964,0.027522,-0.195098,0.207543,-2.03605,0.059839,1.09527,-0.398025
0.620464,0.395294,0.104977,0.500908,0.027777,-0.193435,0.201533,-2.03484,0.057217,1.08793,-0.393275
0.630464,0.395385,0.102071,0.500854,0.027994,-0.192225,0.195445,-2.03409,0.054939,1.08112,-0.387672
0.640464,0.395385,0.0991552,0.500801,0.028173,-0.191459,0.189288,-2.0338,0.052984,1.07483,-0.381267
0.650464,0.395293,0.0962338,0.500749,0.028313,-0.19113,0.183076,-2.03396,0.051327,1.06905,-0.374113
0.660464,0.39511,0.0933098,0.500698,0.028415,-0.19123,0.17682,-2.03455,0.049944,1.06378,-0.366264
0.670464,0.394836,0.0903855,0.500649,0.028477,-0.191749,0.170532,-2.03557,0.04881,1.05899,-0.357777
0.680464,0.394473,0.0874656,0.500601,0.028502,-0.192679,0.164225,-2.037,0.047901,1.05467,-0.348708
0.690464,0.394019,0.084552,0.500554,0.028488,-0.194009,0.157911,-2.03883,0.04719,1.05081,-0.339114
0.700464,0.393476,0.0816482,0.500507,0.028437,-0.195729,0.151602,-2.04106,0.046653,1.04738,-0.329052
0.710464,0.392844,0.0787574,0.500463,0.028349,-0.19783,0.14531,-2.04366,0.046266,1.04435,-0.318579
0.720464,0.392124,0.0758833,0.500419,0.028226,-0.200299,0.139048,-2.04662,0.046005,1.04172,-0.307751
0.730464,0.391315,0.0730285,0.500378,0.028067,-0.203127,0.132828,-2.04994,0.045847,1.03946,-0.296623
0.740464,0.390419,0.0701962,0.500337,0.027875,-0.206301,0.12666,-2.05358,0.045769,1.03753,-0.285249
0.750464,0.389435,0.0673895,0.500297,0.02765,-0.209811,0.120556,-2.05755,0.045751,1.03592,-0.27368
0.760464,0.388366,0.0646118,0.500259,0.027393,-0.213644,0.114527,-2.06182,0.045774,1.03459,-0.261966
0.770464,0.387211,0.0618657,0.500223,0.027106,-0.217789,0.108582,-2.06638,0.045819,1.03353,-0.250156
0.780464,0.385971,0.0591547,0.500188,0.02679,-0.222235,0.102732,-2.07122,0.045868,1.03271,-0.238294
0.790464,0.384648,0.0564815,0.500155,0.026446,-0.226968,0.096985,-2.07632,0.045908,1.03209,-0.226424
0.800464,0.383242,0.0538491,0.500123,0.026075,-0.231978,0.091351,-2.08167,0.045923,1.03165,-0.214587
0.810464,0.381754,0.0512604,0.500094,0.025678,-0.237253,0.085838,-2.08724,0.045903,1.03136,-0.202821
0.820464,0.380186,0.0487182,0.500065,0.025258,-0.24278,0.080452,-2.09303,0.045835,1.03121,-0.191161
0.830464,0.37854,0.0462258,0.500039,0.024815,-0.248548,0.075202,-2.09903,0.045713,1.03115,-0.17964
0.840464,0.376815,0.0437845,0.500014,0.024349,-0.254546,0.070093,-2.10521,0.045527,1.03117,-0.168287
0.850464,0.375015,0.0413986,0.499991,0.023864,-0.260761,0.065132,-2.11156,0.045273,1.03125,-0.157129
0.860464,0.37314,0.0390695,0.499968,0.023359,-0.267183,0.060324,-2.11807,0.044946,1.03136,-0.146192
0.870464,0.371193,0.0368,0.499948,0.022836,-0.2738,0.055674,-2.12473,0.044544,1.03147,-0.135497
0.880464,0.369175,0.0345928,0.499929,0.022296,-0.280603,0.051187,-2.13152,0.044066,1.03157,-0.125062
0.890464,0.367089,0.03245,0.499911,0.02174,-0.28758,0.046867,-2.13844,0.043512,1.03163,-0.114904
0.900464,0.364936,0.0303741,0.499894,0.02117,-0.294721,0.042718,-2.14546,0.042883,1.03165,-0.105038
0.910464,0.362718,0.0283671,0.49988,0.020586,-0.302017,0.038743,-2.15258,0.042184,1.03159,-0.095474
0.920464,0.360438,0.0264305,0.499866,0.019989,-0.309457,0.034944,-2.15978,0.041418,1.03145,-0.086222
0.930464,0.358098,0.0245667,0.499853,0.019381,-0.317033,0.031324,-2.16706,0.04059,1.03121,-0.07729
0.940464,0.355701,0.022778,0.499841,0.018763,-0.324735,0.027886,-2.17441,0.039707,1.03086,-0.068682
0.950464,0.353248,0.021066,0.499829,0.018136,-0.332555,0.024632,-2.18181,0.038776,1.03038,-0.060401
0.960464,0.350743,0.019432,0.49982,0.0175,-0.340485,0.021563,-2.18925,0.037806,1.02977,-0.05245
0.970464,0.348187,0.0178778,0.49981,0.016858,-0.348516,0.01868,-2.19674,0.036805,1.02901,-0.044827
0.980464,0.345584,0.0164049,0.499802,0.016209,-0.356642,0.015985,-2.20425,0.035784,1.0281,-0.037531
0.990464,0.342936,0.0150147,0.499794,0.015556,-0.364854,0.013478,-2.21179,0.034752,1.02703,-0.030558
1.00046,0.340246,0.0137087,0.499787,0.014899,-0.373146,0.011161,-2.21934,0.033721,1.02581,-0.023905
1.01046,0.337516,0.0124879,0.499781,0.01424,-0.381511,0.009033,-2.2269,0.032702,1.02441,-0.017565
1.02046,0.334749,0.011354,0.499775,0.01358,-0.389943,0.007096,-2.23446,0.031707,1.02286,-0.011532
1.03046,0.331948,0.0103074,0.49977,0.012919,-0.398436,0.00535,-2.24201,0.030747,1.02113,-0.005798
1.04046,0.329116,0.00934978,0.499766,0.012261,-0.406983,0.003794,-2.24956,0.029836,1.01923,-0.000356
1.05046,0.326255,0.0084808,0.499761,0.011604,-0.415579,0.002428,-2.25709,0.028985,1.01717,0.004804
1.06046,0.323368,0.00770261,0.499758,0.010952,-0.424219,0.001253,-2.26459,0.028207,1.01495,0.00969
1.07046,0.320459,0.00701512,0.499755,0.010305,-0.432898,0.000268,-2.27207,0.027514,1.01257,0.014313
1.08046,0.31753,0.00641955,0.499752,0.009666,-0.44161,-0.000527,-2.27952,0.026918,1.01004,0.018682
1.09046,0.314584,0.00591598,0.499749,0.009035,-0.45035,-0.001133,-2.28694,0.026433,1.00736,0.022807
1.10046,0.311624,0.00550479,0.499748,0.008414,-0.459115,-0.00155,-2.29431,0.026068,1.00454,0.026698
1.11046,0.308653,0.00518659,0.499745,0.007806,-0.467898,-0.00178,-2.30165,0.025837,1.00158,0.030366
1.12046,0.305673,0.00496201,0.499744,0.007211,-0.476697,-0.001821,-2.30893,0.025751,0.998507,0.033819
1.13046,0.302688,0.00483038,0.499743,0.006632,-0.485506,-0.001677,-2.31616,0.02582,0.995317,0.037067
1.14046,0.2997,0.00479246,0.499742,0.00607,-0.494321,-0.001346,-2.32334,0.026054,0.992023,0.04012
1.15046,0.296713,0.00484799,0.499742,0.005528,-0.503139,-0.000831,-2.33046,0.026464,0.988637,0.042986
1.16046,0.293729,0.00499688,0.499741,0.005007,-0.511953,-0.000132,-2.33751,0.027059,0.985169,0.045673
1.17046,0.290751,0.00523944,0.499741,0.004511,-0.520761,0.00075,-2.3445,0.027847,0.981633,0.048189
1.18046,0.287782,0.0055748,0.499741,0.00404,-0.529558,0.001814,-2.35142,0.028836,0.97804,0.050541
1.19046,0.284826,0.00600311,0.499741,0.003597,-0.538339,0.003059,-2.35827,0.030035,0.974403,0.052734
1.20046,0.281884,0.00652393,0.499741,0.003186,-0.547101,0.004483,-2.36504,0.031449,0.970737,0.054775
1.21046,0.278959,0.00713604,0.499742,0.002807,-0.555838,0.006085,-2.37173,0.033083,0.967054,0.056669
1.22046,0.276055,0.00783997,0.499743,0.002464,-0.564547,0.007865,-2.37833,0.034944,0.963369,0.058419
1.23046,0.273175,0.00863432,0.499743,0.002159,-0.573222,0.00982,-2.38484,0.037036,0.959697,0.060028
1.24046,0.27032,0.00951839,0.499744,0.001895,-0.581859,0.011949,-2.39126,0.039361,0.956051,0.0615
1.25046,0.267495,0.0104916,0.499746,0.001675,-0.590452,0.014251,-2.39759,0.041922,0.952448,0.062835
1.26046,0.264701,0.0115529,0.499747,0.0015,-0.598997,0.016725,-2.40381,0.044721,0.9489,0.064035
1.27046,0.261941,0.0127014,0.499748,0.001375,-0.607488,0.019368,-2.40993,0.047759,0.945425,0.065098
