t,x,y,z,xd,yd,zd,xdot,ydot,zdot,norm
0.0100003,0.288661,0.00185423,0.611396,0.6,0.3,0.4,0.465825,0.448344,-0.317541,0.720304
0.0200003,0.295582,0.00856183,0.606654,0.6,0.3,0.4,0.892395,0.870776,-0.614608,1.39009
0.0300003,0.306038,0.0188573,0.599401,0.6,0.3,0.4,1.17793,1.17005,-0.822761,1.85297
0.0400003,0.318773,0.031629,0.590433,0.6,0.3,0.4,1.35342,1.36949,-0.960566,2.15173
0.0500003,0.332831,0.0459798,0.580372,0.6,0.3,0.4,1.44666,1.48889,-1.04378,2.3236
0.0600003,0.34751,0.061198,0.569697,0.6,0.3,0.4,1.4811,1.54586,-1.0856,2.40039
0.0700003,0.36232,0.0767405,0.558763,0.6,0.3,0.4,1.47562,1.55615,-1.0968,2.40874
0.0800003,0.376938,0.0922114,0.547833,0.6,0.3,0.4,1.44524,1.534,-1.08647,2.37114
0.0900003,0.391172,0.107343,0.537088,0.6,0.3,0.4,1.39978,1.48959,-1.06047,2.30279
0.1,0.40491,0.12196,0.526658,0.6,0.3,0.4,1.34699,1.43201,-1.02415,2.21673
0.11,0.418103,0.13596,0.516627,0.6,0.3,0.4,1.2914,1.36726,-0.981138,2.12126
0.12,0.430737,0.149294,0.507049,0.6,0.3,0.4,1.23558,1.29932,-0.934108,2.02174
0.13,0.442816,0.161942,0.497953,0.6,0.3,0.4,1.1803,1.23006,-0.884703,1.92064
0.14,0.454345,0.173893,0.489359,0.6,0.3,0.4,1.12548,1.16017,-0.833961,1.81884
0.15,0.465323,0.185142,0.481276,0.6,0.3,0.4,1.07014,1.08938,-0.782371,1.71582
0.16,0.475744,0.195677,0.473713,0.6,0.3,0.4,1.01386,1.01756,-0.730355,1.61145
0.17,0.485596,0.20549,0.46667,0.6,0.3,0.4,0.95651,0.944645,-0.678215,1.50574
0.18,0.494869,0.214568,0.460148,0.6,0.3,0.4,0.897782,0.870963,-0.626331,1.39889
0.19,0.50355,0.222909,0.454141,0.6,0.3,0.4,0.838386,0.797144,-0.575111,1.29193
0.2,0.511637,0.230513,0.448642,0.6,0.3,0.4,0.779069,0.724111,-0.525056,1.18616
0.21,0.519134,0.237397,0.443634,0.6,0.3,0.4,0.720701,0.652936,-0.476699,1.08304
0.22,0.526057,0.243582,0.439101,0.6,0.3,0.4,0.664169,0.584627,-0.430534,0.984006
0.23,0.532426,0.249103,0.435014,0.6,0.3,0.4,0.610202,0.520367,-0.387114,0.890497
0.24,0.538272,0.254005,0.431347,0.6,0.3,0.4,0.559529,0.460874,-0.346875,0.803617
0.25,0.543628,0.258339,0.428066,0.6,0.3,0.4,0.512266,0.4068,-0.309851,0.723816
0.26,0.54853,0.26216,0.425138,0.6,0.3,0.4,0.468744,0.358478,-0.276305,0.651592
0.27,0.553015,0.265528,0.422528,0.6,0.3,0.4,0.428953,0.31601,-0.246225,0.586933
0.28,0.557082,0.268472,0.420225,0.6,0.3,0.4,0.393081,0.279605,-0.219747,0.530075
0.29,0.560845,0.271106,0.418148,0.6,0.3,0.4,0.360151,0.24818,-0.19611,0.479334
0.3,0.564295,0.273452,0.416293,0.6,0.3,0.4,0.330242,0.221633,-0.175308,0.434643
0.31,0.567154,0.275353,0.414791,0.6,0.3,0.4,0.305618,0.201473,-0.158775,0.399002
0.32,0.570362,0.277453,0.413145,0.6,0.3,0.4,0.27815,0.180908,-0.141003,0.360523
0.33,0.573029,0.279183,0.411807,0.6,0.3,0.4,0.25537,0.165462,-0.126861,0.329674
0.34,0.575476,0.28077,0.410602,0.6,0.3,0.4,0.23443,0.152491,-0.114337,0.302132
0.35,0.577723,0.282238,0.409515,0.6,0.3,0.4,0.215122,0.141463,-0.103185,0.277374
0.36,0.579783,0.283604,0.408534,0.6,0.3,0.4,0.197276,0.131919,-0.0931981,0.254963
0.37,0.581673,0.28488,0.407648,0.6,0.3,0.4,0.180751,0.123482,-0.084205,0.23454
0.38,0.583403,0.286076,0.406848,0.6,0.3,0.4,0.165435,0.115853,-0.0760659,0.215816
0.39,0.584985,0.2872,0.406125,0.6,0.3,0.4,0.151232,0.108794,-0.0686739,0.198553
0.4,0.586431,0.288254,0.405471,0.6,0.3,0.4,0.138122,0.10216,-0.0619996,0.182642
0.41,0.58775,0.289243,0.404883,0.6,0.3,0.4,0.125903,0.0957825,-0.0558482,0.167764
0.42,0.588952,0.29017,0.404353,0.6,0.3,0.4,0.114599,0.0896162,-0.050242,0.15391
0.43,0.590045,0.291037,0.403876,0.6,0.3,0.4,0.104153,0.083628,-0.0451292,0.14099
0.44,0.591038,0.291843,0.403448,0.6,0.3,0.4,0.0945147,0.0778056,-0.0404696,0.128936
0.45,0.591938,0.292593,0.403065,0.6,0.3,0.4,0.0856413,0.0721463,-0.0362361,0.117697
0.46,0.592753,0.293287,0.402722,0.6,0.3,0.4,0.0774866,0.0666656,-0.0323934,0.107228
0.47,0.59349,0.293927,0.402416,0.6,0.3,0.4,0.0700081,0.0613815,-0.0289143,0.0974928
0.48,0.594155,0.294515,0.402143,0.6,0.3,0.4,0.0631638,0.056317,-0.0257703,0.0884611
0.49,0.594755,0.295054,0.4019,0.6,0.3,0.4,0.0569145,0.0514913,-0.022937,0.0801044
0.5,0.595295,0.295546,0.401684,0.6,0.3,0.4,0.0512174,0.0469213,-0.0203867,0.0723909
0.51,0.595782,0.295993,0.401491,0.6,0.3,0.4,0.046039,0.0426212,-0.0180995,0.0652974
0.52,0.596218,0.296399,0.40132,0.6,0.3,0.4,0.0413439,0.0386018,-0.0160535,0.0587974
0.53,0.59661,0.296767,0.401169,0.6,0.3,0.4,0.0370989,0.0348691,-0.0142278,0.0528641
0.54,0.596961,0.297097,0.401035,0.6,0.3,0.4,0.0332653,0.031422,-0.0126014,0.0474628
0.55,0.597277,0.297395,0.400917,0.6,0.3,0.4,0.0298102,0.0282552,-0.0111535,0.0425606
0.56,0.597559,0.297664,0.400812,0.6,0.3,0.4,0.0267017,0.0253629,-0.00986765,0.0381265
0.57,0.597811,0.297904,0.400719,0.6,0.3,0.4,0.0239113,0.0227376,-0.00872658,0.0341307
0.58,0.598038,0.298119,0.400637,0.6,0.3,0.4,0.0214093,0.0203603,-0.00771612,0.0305359
0.59,0.59824,0.298312,0.400564,0.6,0.3,0.4,0.0191678,0.018214,-0.00682314,0.0273076
0.6,0.598422,0.298484,0.4005,0.6,0.3,0.4,0.0171631,0.0162864,-0.00603526,0.0244181
0.61,0.598585,0.298638,0.400443,0.6,0.3,0.4,0.0153716,0.0145622,-0.00533805,0.0218366
0.62,0.59873,0.298776,0.400393,0.6,0.3,0.4,0.0137716,0.0130236,-0.00472328,0.0195341
0.63,0.59886,0.2989,0.400349,0.6,0.3,0.4,0.0123416,0.0116533,-0.00418062,0.0174812
0.64,0.598977,0.299009,0.400309,0.6,0.3,0.4,0.0110669,0.0104354,-0.00370267,0.0156552
0.65,0.599082,0.299108,0.400274,0.6,0.3,0.4,0.0099291,0.00935417,-0.00328017,0.0140302
0.66,0.599177,0.299197,0.400243,0.6,0.3,0.4,0.00891316,0.00839318,-0.00290774,0.0125835
0.67,0.599261,0.299277,0.400215,0.6,0.3,0.4,0.00800503,0.00754138,-0.00257892,0.0112962
0.68,0.599337,0.299349,0.400191,0.6,0.3,0.4,0.00719275,0.00678445,-0.00228766,0.0101488
0.69,0.599405,0.299413,0.40017,0.6,0.3,0.4,0.00646434,0.00611217,-0.00203046,0.00912519
0.7,0.59946,0.299466,0.400152,0.6,0.3,0.4,0.00587473,0.00556934,-0.00182465,0.00829816
0.71,0.599521,0.299523,0.400134,0.6,0.3,0.4,0.00522776,0.00497737,-0.00160037,0.00739357
0.72,0.599571,0.299571,0.400119,0.6,0.3,0.4,0.00470248,0.0044994,-0.00142176,0.00666178
0.73,0.599616,0.299613,0.400106,0.6,0.3,0.4,0.00423081,0.00406938,-0.00126252,0.00600446
0.74,0.599656,0.299652,0.400093,0.6,0.3,0.4,0.0038055,0.00368427,-0.00112119,0.00541413
0.75,0.599692,0.299687,0.400083,0.6,0.3,0.4,0.00342194,0.00333651,-0.000994993,0.00488181
